UTC;model1.direcao_vento_100m;model1.direcao_vento_10m;model1.velocidade_vento_100m;model1.velocidade_vento_10m;model2.direcao_vento_10m;model2.direcao_vento_100m;model2.velocidade_vento_10m;model2.velocidade_vento_100m
2020-03-06 21:00:00;36.18;30.45;9.17;6.68;27.57;30.49;9.41;10.98
2020-03-06 21:30:00;31.55;25.97;9.14;6.71;24.2;27.1;9.37;10.92
2020-03-06 22:00:00;26.92;21.56;9.17;6.79;20.82;23.68;9.36;10.91
2020-03-06 22:30:00;22.35;17.27;9.26;6.91;17.44;20.27;9.39;10.93
2020-03-06 23:00:00;17.89;13.15;9.41;7.06;14.09;16.89;9.45;11.0
2020-03-06 23:30:00;13.59;9.23;9.61;7.25;10.8;13.55;9.54;11.1
2020-03-07 00:00:00;9.5;5.52;9.86;7.47;7.58;10.29;9.66;11.24
2020-03-07 00:30:00;6.78;2.74;9.65;7.36;4.93;7.54;9.8;11.37
2020-03-07 01:00:00;3.96;359.88;9.45;7.27;2.37;4.87;9.95;11.53
2020-03-07 01:30:00;1.02;356.96;9.29;7.2;359.89;2.27;10.13;11.71
2020-03-07 02:00:00;357.98;354.0;9.14;7.14;357.5;359.75;10.33;11.91
2020-03-07 02:30:00;354.85;350.99;9.02;7.11;355.2;357.33;10.54;12.14
2020-03-07 03:00:00;351.65;347.96;8.94;7.1;353.0;355.0;10.77;12.39
2020-03-07 03:30:00;350.89;347.42;9.04;7.17;351.88;353.83;10.62;12.23
2020-03-07 04:00:00;350.15;346.89;9.15;7.25;350.74;352.64;10.48;12.08
2020-03-07 04:30:00;349.42;346.37;9.26;7.33;349.56;351.42;10.34;11.94
2020-03-07 05:00:00;348.71;345.86;9.37;7.4;348.35;350.17;10.2;11.8
2020-03-07 05:30:00;348.02;345.36;9.48;7.48;347.11;348.89;10.07;11.66
2020-03-07 06:00:00;347.34;344.87;9.6;7.56;345.83;347.58;9.94;11.54
2020-03-07 06:30:00;346.89;344.65;9.52;7.51;345.81;347.37;9.84;11.44
2020-03-07 07:00:00;346.43;344.44;9.45;7.46;345.78;347.16;9.73;11.34
2020-03-07 07:30:00;345.97;344.22;9.38;7.4;345.76;346.95;9.63;11.25
2020-03-07 08:00:00;345.5;344.0;9.32;7.35;345.73;346.73;9.52;11.15
2020-03-07 08:30:00;345.02;343.77;9.25;7.3;345.7;346.5;9.41;11.06
2020-03-07 09:00:00;344.53;343.54;9.18;7.25;345.67;346.28;9.31;10.96
2020-03-07 09:30:00;341.51;340.19;8.85;6.97;343.32;344.16;9.0;10.75
2020-03-07 10:00:00;338.25;336.57;8.55;6.72;340.8;341.96;8.7;10.55
2020-03-07 10:30:00;334.77;332.69;8.27;6.5;338.11;339.69;8.42;10.37
2020-03-07 11:00:00;331.07;328.56;8.03;6.31;335.24;337.33;8.17;10.21
2020-03-07 11:30:00;327.15;324.19;7.82;6.15;332.19;334.9;7.93;10.06
2020-03-07 12:00:00;323.05;319.63;7.66;6.03;328.97;332.41;7.72;9.93
2020-03-07 12:30:00;319.5;315.86;7.58;5.93;328.29;331.89;7.32;9.44
2020-03-07 13:00:00;315.88;311.97;7.53;5.86;327.52;331.31;6.93;8.95
2020-03-07 13:30:00;312.24;308.01;7.51;5.81;326.66;330.67;6.53;8.46
2020-03-07 14:00:00;308.59;303.99;7.52;5.79;325.7;329.95;6.14;7.97
2020-03-07 14:30:00;304.96;299.97;7.56;5.8;324.6;329.14;5.74;7.49
2020-03-07 15:00:00;301.39;295.98;7.63;5.83;323.33;328.22;5.36;7.0
2020-03-07 15:30:00;302.89;297.08;7.15;5.4;321.75;326.74;4.94;6.44
2020-03-07 16:00:00;304.59;298.36;6.67;4.96;319.87;324.99;4.53;5.89
2020-03-07 16:30:00;306.56;299.9;6.2;4.53;317.62;322.87;4.12;5.34
2020-03-07 17:00:00;308.85;301.76;5.74;4.1;314.88;320.28;3.73;4.8
2020-03-07 17:30:00;311.53;304.05;5.29;3.67;311.5;317.04;3.34;4.27
2020-03-07 18:00:00;314.7;306.93;4.86;3.26;307.25;312.9;2.97;3.76
2020-03-07 18:30:00;307.63;301.08;5.15;3.51;301.28;306.62;3.36;4.23
2020-03-07 19:00:00;301.41;296.07;5.51;3.8;296.59;301.65;3.78;4.74
2020-03-07 19:30:00;296.0;291.79;5.93;4.11;292.86;297.67;4.22;5.29
2020-03-07 20:00:00;291.35;288.13;6.39;4.44;289.85;294.44;4.68;5.85
2020-03-07 20:30:00;287.34;284.99;6.89;4.79;287.38;291.78;5.14;6.42
2020-03-07 21:00:00;283.9;282.28;7.42;5.15;285.32;289.57;5.62;7.01
2020-03-07 21:30:00;278.9;276.15;6.85;4.78;279.79;284.33;5.34;6.56
2020-03-07 22:00:00;273.05;269.1;6.34;4.47;273.72;278.38;5.12;6.17
2020-03-07 22:30:00;266.27;261.15;5.91;4.24;267.2;271.71;4.97;5.85
2020-03-07 23:00:00;258.54;252.49;5.57;4.11;260.35;264.38;4.88;5.62
2020-03-07 23:30:00;249.99;243.45;5.34;4.07;253.35;256.58;4.86;5.49
2020-03-08 00:00:00;240.9;234.45;5.25;4.13;246.4;248.56;4.92;5.47
2020-03-08 00:30:00;229.39;223.63;5.42;4.28;237.7;239.55;5.01;5.62
2020-03-08 01:00:00;219.0;213.87;5.8;4.57;229.49;231.22;5.2;5.9
