UTC;model1.direcao_vento_100m;model1.direcao_vento_10m;model1.velocidade_vento_100m;model1.velocidade_vento_10m;target.velocidade_vento;model2.direcao_vento_10m;model2.direcao_vento_100m;model2.velocidade_vento_10m;model2.velocidade_vento_100m
2017-04-01 00:30:00;297.68;289.28;7.95;5.23;7.74;281.45;283.11;5.01;8.03
2017-04-01 01:00:00;293.96;286.44;7.73;5.08;5.6;280.59;282.45;4.73;7.63
2017-04-01 01:30:00;290.03;283.42;7.54;4.93;5.25;279.62;281.73;4.46;7.23
2017-04-01 02:00:00;285.92;280.23;7.38;4.81;5.94;278.53;280.92;4.19;6.83
2017-04-01 02:30:00;281.65;276.87;7.27;4.69;7.9;277.29;280.0;3.92;6.43
2017-04-01 03:00:00;277.28;273.37;7.2;4.6;4.84;275.86;278.97;3.66;6.03
2017-04-01 03:30:00;274.62;270.52;6.99;4.47;4.16;273.64;276.92;3.66;5.99
2017-04-01 04:00:00;271.81;267.51;6.81;4.36;5.01;271.42;274.83;3.67;5.95
2017-04-01 04:30:00;268.85;264.35;6.64;4.26;5.13;269.22;272.72;3.68;5.91
2017-04-01 05:00:00;265.75;261.05;6.49;4.17;5.72;267.04;270.59;3.7;5.89
2017-04-01 05:30:00;262.51;257.62;6.36;4.09;5.43;264.88;268.45;3.73;5.87
2017-04-01 06:00:00;259.14;254.07;6.25;4.04;4.89;262.75;266.29;3.76;5.87
2017-04-01 06:30:00;261.51;256.4;5.94;3.83;4.83;264.98;267.75;3.66;5.72
2017-04-01 07:00:00;264.13;258.99;5.65;3.63;4.47;267.32;269.28;3.56;5.58
2017-04-01 07:30:00;267.02;261.87;5.37;3.43;4.38;269.8;270.9;3.47;5.44
2017-04-01 08:00:00;270.23;265.09;5.11;3.25;4.39;272.4;272.59;3.38;5.3
2017-04-01 08:30:00;273.77;268.68;4.86;3.08;4.2;275.13;274.37;3.31;5.18
2017-04-01 09:00:00;277.67;272.68;4.63;2.92;3.89;277.98;276.24;3.24;5.05
2017-04-01 09:30:00;276.86;267.66;4.32;2.67;3.42;279.99;277.36;3.07;4.86
2017-04-01 10:00:00;275.92;261.66;4.01;2.44;2.79;282.24;278.58;2.91;4.67
2017-04-01 10:30:00;274.82;254.51;3.71;2.25;2.61;284.75;279.9;2.75;4.49
2017-04-01 11:00:00;273.52;246.17;3.4;2.09;2.15;287.57;281.33;2.59;4.31
2017-04-01 11:30:00;271.96;236.73;3.09;1.99;2.31;290.72;282.89;2.45;4.13
2017-04-01 12:00:00;270.07;226.57;2.79;1.94;1.97;294.27;284.58;2.31;3.95
2017-04-01 12:30:00;273.52;221.19;2.46;1.72;1.68;300.62;287.81;1.99;3.55
2017-04-01 13:00:00;278.04;214.25;2.13;1.51;1.35;309.26;291.85;1.7;3.16
2017-04-01 13:30:00;284.12;205.28;1.83;1.33;0.94;321.02;296.98;1.47;2.79
2017-04-01 14:00:00;292.5;193.89;1.55;1.19;0.7;336.33;303.6;1.31;2.45
2017-04-01 14:30:00;304.14;180.24;1.32;1.11;0.86;354.03;312.18;1.27;2.16
2017-04-01 15:00:00;319.73;165.45;1.16;1.1;1.32;11.18;323.16;1.35;1.92
2017-04-01 15:30:00;338.84;150.48;1.02;1.0;1.27;30.03;327.96;1.22;1.41
2017-04-01 16:00:00;0.95;133.61;1.01;0.98;1.44;50.89;338.05;1.23;0.92
2017-04-01 16:30:00;20.49;117.44;1.15;1.04;0.74;69.01;6.94;1.39;0.51
2017-04-01 17:00:00;34.68;104.03;1.38;1.18;0.77;82.32;70.59;1.66;0.49
2017-04-01 17:30:00;44.33;93.8;1.68;1.36;0.94;91.58;101.61;1.99;0.89
2017-04-01 18:00:00;50.98;86.19;2.0;1.58;1.82;98.08;112.27;2.36;1.38
2017-04-01 18:30:00;67.09;97.38;1.88;1.63;2.17;98.5;111.56;2.21;1.4
2017-04-01 19:00:00;83.95;107.51;1.91;1.74;2.17;98.97;110.88;2.06;1.42
2017-04-01 19:30:00;98.96;116.2;2.1;1.9;1.94;99.52;110.21;1.91;1.44
2017-04-01 20:00:00;110.84;123.42;2.41;2.09;1.77;100.17;109.56;1.76;1.46
2017-04-01 20:30:00;119.76;129.35;2.79;2.31;2.08;100.93;108.93;1.61;1.48
2017-04-01 21:00:00;126.4;134.19;3.23;2.56;1.97;101.84;108.31;1.47;1.5
2017-04-01 21:30:00;130.68;136.42;3.03;2.29;1.66;111.84;121.42;1.47;1.55
2017-04-01 22:00:00;135.54;139.22;2.84;2.03;2.59;121.49;133.19;1.52;1.67
2017-04-01 22:30:00;141.03;142.85;2.68;1.77;2.28;130.33;143.04;1.6;1.84
2017-04-01 23:00:00;147.16;147.67;2.55;1.52;6.33;138.09;150.95;1.72;2.07
2017-04-01 23:30:00;153.87;154.29;2.45;1.29;5.5;144.73;157.22;1.87;2.32
